orig_linha,data,modelo,imei,valor_venda,brinde,custo,lucro,pix,dinheiro,cartao_credito,cartao_debito,troca_aparelho,soma_pagamentos,diferenca,formas_pgto,tem_troca,modelo_troca,valor_troca,pagto_junto,pagto_junto_grupo,pagto_junto_total,pagto_junto_restante,vendedor,vendedor_id,loja,loja_id,estado,observacao,precisa_revisao,motivo_revisao,entendimento
2,04/06/2026,IPHONE 17 PRO 256GB SILVER NOVO,357679992297861,7370.0,30.0,6950.0,390.0,4370.0,0,0,0,0,4370.0,3000.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,SIM,So extraiu: 4370 pix de 7370 → falta R$ 3000 sem valor explicito no texto,
3,04/06/2026,IPHONE 15 128GB AZUL SEMINOVO,351698471567244,2900.0,25.0,2660.0,215.0,1450.0,0,0,0,1450.0,2900.0,0.0,pix,SIM,ENTROU UM 13 SEMINOVO POR,1450.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 2900 | 1450 pix + 1450 troca | brinde 25
4,04/06/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,351465644827966,4400.0,23.0,4100.0,277.0,2500.0,0,0,0,1900.0,4400.0,0.0,pix,SIM,ENTROU UM 14 SEMINOVO POR,1900.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 4400 | 2500 pix + 1900 troca | brinde 23
5,04/06/2026,IPHONE 16 PRO MAX 256GB DESERT NOVO,357590879692399,5970.0,0,5850.0,120.0,1990.0,0,3980.0,0,0,5970.0,0.0,pix+cartao_credito,NAO,,0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,novo,,NAO,,valor da venda = 5970 | 1990 pix + 3980 credito
6,04/06/2026,IPHONE 14 128GB BRANCO SEMINOVO,353687476380990,2100.0,0,1900.0,200.0,0,0,450.0,0,1650.0,2100.0,0.0,cartao_credito+troca_aparelho,SIM,IPHONE 13 AZUL 128G,1650.0,NAO,,,,Renan,a50f1e24-aabb-41c1-b817-b4a4950bb1e4,BLOCO B,20,seminovo,,NAO,,valor da venda = 2100 | 450 credito + 1650 troca
7,04/06/2026,IPHONE 15 128GB ROSA SEMINOVO,353850628182660,2950.0,35.0,2660.0,255.0,1000.0,0,1950.0,0,0,2950.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 2950 | 1000 pix + 1950 credito | brinde 35
8,04/06/2026,IPHONE 17 256GB BRANCO NOVO,359973613643894,4700.0,25.0,4600.0,75.0,4700.0,0,0,0,0,4700.0,0.0,pagamento_junto,NAO,,0,SIM,1,9324.0,0,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,"Pagto junto (Aparelho 1/2, total grupo R$ 9,324)",NAO,,grupo 1 (8 e 9): valor da venda = 4700 | 4700 pix = 4700 | grupo R$ 9324
9,04/06/2026,IPHONE 17 256GB PRETO NOVO,351205581240124,4624.0,30.0,4500.0,94.0,4624.0,0,0,0,0,4624.0,0.0,pagamento_junto,NAO,,0,SIM,1,9324.0,0,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,"Pagto junto (Aparelho 2/2, total grupo R$ 9,324)",NAO,,grupo 1 (8 e 9): valor da venda = 4624 | 4624 pix = 4624 | grupo R$ 9324
10,04/06/2026,POCO X8 PRO MAX 512GB BRANCO NOVO,860534086640486,3050.0,0,2950.0,100.0,3050.0,0,0,0,0,3050.0,0.0,pix,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 3050 | 3050 pix
11,04/06/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,351205745375915,7750.0,0,7500.0,250.0,0,4050.0,0,0,3700.0,7750.0,0.0,dinheiro+troca_aparelho,SIM,IPH 15 PRO MAX 256GB,3700.0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 7750 | 4050 dinheiro + 3700 troca
